predictor,core,trace,IPC,cycles,accuracy,MPKI,L1D_miss%,L1D_hit%,L1D_rfo,L1D_writeback,L1I_miss%,L1I_hit%,L1I_rfo,L1I_writeback,L2C_miss%,L2C_hit%,L2C_rfo,L2C_writeback,LLC_miss%,LLC_hit%,LLC_rfo,LLC_writeback,LLC_writes
Bimodal,0,619.lbm_s-3766B,0.836444,11955382,99.6996,0.0312768,15.1319,84.8681,1484982,0,0.0,100.0,0,0,40.2632,59.7368,299320,299317,45.3224,54.6776,209101,209180,418281
Bimodal,1,403.gcc-16B,1.14858,8706401,99.628,0.72578,74.8383,25.1617,572514,0,0.029,99.971,0,0,49.2931,50.7069,491336,492986,45.3224,54.6776,209101,209180,418281
Bimodal,2,401.bzip2-277B,0.997726,10022796,90.8166,14.7455,22.1403,77.8597,426321,0,0.0,100.0,0,0,64.2548,35.7452,12562,13991,45.3224,54.6776,209101,209180,418281
Bimodal,3,620.omnetpp_s-874B,0.256733,38950997,95.7633,8.7938,4.6608,95.3392,1786829,0,0.2123,99.7877,0,0,47.7417,52.2583,25043,95638,45.3224,54.6776,209101,209180,418281
Bullseye,0,619.lbm_s-3766B,0.83206,12018363,99.8985,0.0105506,15.1326,84.8674,1484893,0,0.0,100.0,0,0,40.4461,59.5539,299320,299317,45.1167,54.8833,210294,210138,420432
Bullseye,1,403.gcc-16B,1.17025,8545195,99.9453,0.106748,75.6473,24.3527,572121,0,0.0288,99.9712,0,0,49.4421,50.5579,491327,492986,45.1167,54.8833,210294,210138,420432
Bullseye,2,401.bzip2-277B,1.04886,9534164,93.7314,10.0816,22.1649,77.8351,426114,0,0.0,100.0,0,0,64.1341,35.8659,12596,14085,45.1167,54.8833,210294,210138,420432
Bullseye,3,620.omnetpp_s-874B,0.274505,36429190,98.1942,3.7482,4.7791,95.2209,1783456,0,0.1686,99.8314,0,0,47.8098,52.1902,24616,95624,45.1167,54.8833,210294,210138,420432
Bullseye_Adaptive,0,619.lbm_s-3766B,0.832876,12006596,99.8986,0.0105445,15.1311,84.8689,1484982,0,0.0,100.0,0,0,40.1269,59.8731,299320,299317,45.5077,54.4923,208212,208149,416361
Bullseye_Adaptive,1,403.gcc-16B,1.16973,8548990,99.9454,0.106522,75.6456,24.3544,572118,0,0.0288,99.9712,0,0,49.472,50.528,491326,492984,45.5077,54.4923,208212,208149,416361
Bullseye_Adaptive,2,401.bzip2-277B,1.05158,9509456,93.7283,10.0866,22.1648,77.8352,426098,0,0.0,100.0,0,0,64.1404,35.8596,12596,14086,45.5077,54.4923,208212,208149,416361
Bullseye_Adaptive,3,620.omnetpp_s-874B,0.274425,36439879,98.2468,3.639,4.7843,95.2157,1781809,0,0.1689,99.8311,0,0,47.739,52.261,24659,95620,45.5077,54.4923,208212,208149,416361
GShare,0,619.lbm_s-3766B,0.837186,11944775,99.8992,0.0104913,15.1309,84.8691,1485066,0,0.0,100.0,0,0,40.1779,59.8221,299320,299317,45.4401,54.5599,208545,208515,417060
GShare,1,403.gcc-16B,1.15503,8657794,99.763,0.462349,75.1232,24.8768,572471,0,0.0289,99.9711,0,0,50.243,49.757,491299,492960,45.4401,54.5599,208545,208515,417060
GShare,2,401.bzip2-277B,1.01375,9864400,91.4662,13.6884,22.132,77.868,426258,0,0.0,100.0,0,0,64.2778,35.7222,12603,13989,45.4401,54.5599,208545,208515,417060
GShare,3,620.omnetpp_s-874B,0.26424,37844437,96.6228,7.0099,4.7152,95.2848,1783753,0,0.197,99.803,0,0,47.7486,52.2514,24623,95636,45.4401,54.5599,208545,208515,417060
Hashed_Perceptron,0,619.lbm_s-3766B,0.83083,12036151,99.8986,0.0105395,15.132,84.868,1484909,0,0.0,100.0,0,0,40.0698,59.9302,299320,299317,45.579,54.421,207840,207786,415626
Hashed_Perceptron,1,403.gcc-16B,1.16958,8550092,99.9453,0.106578,75.6468,24.3532,572115,0,0.0288,99.9712,0,0,49.3243,50.6757,491327,492986,45.579,54.421,207840,207786,415626
Hashed_Perceptron,2,401.bzip2-277B,1.04893,9533566,93.7278,10.0868,22.1644,77.8356,426156,0,0.0,100.0,0,0,64.117,35.883,12595,14087,45.579,54.421,207840,207786,415626
Hashed_Perceptron,3,620.omnetpp_s-874B,0.274049,36489777,98.1756,3.7869,4.7783,95.2217,1783321,0,0.1689,99.8311,0,0,47.7679,52.2321,24610,95624,45.579,54.421,207840,207786,415626
Perceptron,0,619.lbm_s-3766B,0.834054,11989636,99.8985,0.0105563,15.1324,84.8676,1484926,0,0.0,100.0,0,0,40.1778,59.8222,299320,299317,45.4238,54.5762,208544,208684,417228
Perceptron,1,403.gcc-16B,1.15706,8642625,99.7994,0.39126,75.2151,24.7849,572377,0,0.0289,99.9711,0,0,49.4199,50.5801,491302,492960,45.4238,54.5762,208544,208684,417228
Perceptron,2,401.bzip2-277B,1.04444,9574508,92.8733,11.4536,22.1585,77.8415,426150,0,0.0,100.0,0,0,64.1146,35.8854,12596,14079,45.4238,54.5762,208544,208684,417228
Perceptron,3,620.omnetpp_s-874B,0.270785,36929691,97.5856,5.0115,4.757,95.243,1784157,0,0.1831,99.8169,0,0,47.741,52.259,24618,95616,45.4238,54.5762,208544,208684,417228
