size,core,trace,IPC,cycles,accuracy,MPKI,L1D_miss%,L1D_hit%,L1D_rfo,L1D_writeback,L1I_miss%,L1I_hit%,L1I_rfo,L1I_writeback,L2C_miss%,L2C_hit%,L2C_rfo,L2C_writeback,LLC_miss%,LLC_hit%,LLC_rfo,LLC_writeback,LLC_writes
1MB,0,401.bzip2-277B,0.697385,14339286,98.3304,2.6127,22.4168,77.5832,424037,0,0.0,100.0,0,0,65.3469,34.6531,12549,13979,56.5127,43.4873,7020,7556,14576
1MB,0,403.gcc-16B,1.1871,8423908,99.8932,0.2104,75.2608,24.7392,569093,0,0.0294,99.9706,0,0,50.2179,49.7821,487320,489048,0.2018,99.7982,487110,488655,975765
1MB,0,456.hmmer-327B,1.39965,7144660,99.7805,0.0935,1.3879,98.6121,564029,0,0.0,100.0,0,0,38.794,61.206,26618,26603,49.7518,50.2482,26615,25897,52512
1MB,0,605.mcf_s-665B,0.341802,29256741,93.0967,17.2468,11.6631,88.3369,1066655,0,0.0,100.0,0,0,65.6096,34.3904,38645,55022,47.5092,52.4908,29089,38951,68040
2MB,0,401.bzip2-277B,0.928355,10771746,98.3304,2.6127,22.4043,77.5957,423930,0,0.0,100.0,0,0,65.3462,34.6538,12549,13979,25.5328,74.4672,7020,7556,14576
2MB,0,403.gcc-16B,1.1871,8423908,99.8932,0.2104,75.2608,24.7392,569093,0,0.0294,99.9706,0,0,50.2179,49.7821,487320,489048,0.2018,99.7982,487110,488655,975765
2MB,0,456.hmmer-327B,1.48189,6748146,99.7805,0.0935,1.387,98.613,565338,0,0.0,100.0,0,0,38.794,61.206,26618,26603,49.4624,50.5376,26615,25897,52512
2MB,0,605.mcf_s-665B,0.386095,25900380,93.0967,17.2468,11.6624,88.3376,1067055,0,0.0,100.0,0,0,65.607,34.393,38646,55025,36.8216,63.1784,29089,38951,68040
4MB,0,401.bzip2-277B,1.11886,8937667,98.3304,2.6127,22.3917,77.6083,423951,0,0.0,100.0,0,0,65.3456,34.6544,12549,13979,15.228,84.772,7020,7556,14576
4MB,0,403.gcc-16B,1.1871,8423908,99.8932,0.2104,75.2608,24.7392,569093,0,0.0294,99.9706,0,0,50.2179,49.7821,487320,489048,0.2018,99.7982,487110,488655,975765
4MB,0,456.hmmer-327B,1.48189,6748146,99.7805,0.0935,1.387,98.613,565338,0,0.0,100.0,0,0,38.794,61.206,26618,26603,49.4624,50.5376,26615,25897,52512
4MB,0,605.mcf_s-665B,0.412829,24223082,93.0967,17.2468,11.6631,88.3369,1067074,0,0.0,100.0,0,0,65.6065,34.3935,38646,55025,32.5141,67.4859,29089,38951,68040
8MB,0,401.bzip2-277B,1.11886,8937667,98.3304,2.6127,22.3917,77.6083,423951,0,0.0,100.0,0,0,65.3456,34.6544,12549,13979,15.228,84.772,7020,7556,14576
8MB,0,403.gcc-16B,1.1871,8423908,99.8932,0.2104,75.2608,24.7392,569093,0,0.0294,99.9706,0,0,50.2179,49.7821,487320,489048,0.2018,99.7982,487110,488655,975765
8MB,0,456.hmmer-327B,1.48189,6748146,99.7805,0.0935,1.387,98.613,565338,0,0.0,100.0,0,0,38.794,61.206,26618,26603,49.4624,50.5376,26615,25897,52512
8MB,0,605.mcf_s-665B,0.425331,23511103,93.0967,17.2468,11.6633,88.3367,1067079,0,0.0,100.0,0,0,65.6071,34.3929,38647,55026,31.0785,68.9215,29089,38951,68040
