size,policy,core,trace,IPC,cycles,accuracy,MPKI,L1D_miss%,L1D_hit%,L1D_rfo,L1D_writeback,L1I_miss%,L1I_hit%,L1I_rfo,L1I_writeback,L2C_miss%,L2C_hit%,L2C_rfo,L2C_writeback,LLC_miss%,LLC_hit%,LLC_rfo,LLC_writeback,LLC_writes
1MB,drrip,0,401.bzip2-277B,0.685434,14589303,98.3304,2.6127,22.4194,77.5806,424086,0,0.0,100.0,0,0,65.2699,34.7301,12550,13979,58.0604,41.9396,6944,7416,14360
1MB,drrip,0,403.gcc-16B,1.18681,8425935,99.8932,0.2104,75.2607,24.7393,569093,0,0.0294,99.9706,0,0,50.2191,49.7809,487320,489048,0.2076,99.7924,487121,488667,975788
1MB,drrip,0,456.hmmer-327B,1.39476,7169707,99.7805,0.0935,1.388,98.612,564055,0,0.0,100.0,0,0,38.0817,61.9183,26618,26603,51.5588,48.4412,26615,25945,52560
1MB,drrip,0,605.mcf_s-665B,0.34819,28719993,93.0967,17.2468,11.6635,88.3365,1066638,0,0.0,100.0,0,0,65.572,34.428,38649,55026,45.7934,54.2066,29087,38934,68021
1MB,hcit,0,401.bzip2-277B,0.676598,14779816,98.3304,2.6127,22.427,77.573,423955,0,0.0,100.0,0,0,65.3481,34.6519,12550,13979,60.1683,39.8317,7020,7556,14576
1MB,hcit,0,403.gcc-16B,1.1871,8423908,99.8932,0.2104,75.2608,24.7392,569093,0,0.0294,99.9706,0,0,50.2179,49.7821,487320,489048,0.2032,99.7968,487110,488655,975765
1MB,hcit,0,456.hmmer-327B,1.40092,7138149,99.7805,0.0935,1.3879,98.6121,564004,0,0.0,100.0,0,0,38.794,61.206,26618,26603,49.6602,50.3398,26615,25897,52512
1MB,hcit,0,605.mcf_s-665B,0.339323,29470482,93.0967,17.2468,11.6628,88.3372,1066770,0,0.0,100.0,0,0,65.6081,34.3919,38647,55025,48.0717,51.9283,29090,38952,68042
1MB,lru,0,401.bzip2-277B,0.697385,14339286,98.3304,2.6127,22.4168,77.5832,424037,0,0.0,100.0,0,0,65.3469,34.6531,12549,13979,56.5127,43.4873,7020,7556,14576
1MB,lru,0,403.gcc-16B,1.1871,8423908,99.8932,0.2104,75.2608,24.7392,569093,0,0.0294,99.9706,0,0,50.2179,49.7821,487320,489048,0.2018,99.7982,487110,488655,975765
1MB,lru,0,456.hmmer-327B,1.39965,7144660,99.7805,0.0935,1.3879,98.6121,564029,0,0.0,100.0,0,0,38.794,61.206,26618,26603,49.7518,50.2482,26615,25897,52512
1MB,lru,0,605.mcf_s-665B,0.341802,29256741,93.0967,17.2468,11.6631,88.3369,1066655,0,0.0,100.0,0,0,65.6096,34.3904,38645,55022,47.5092,52.4908,29089,38951,68040
1MB,mru,0,401.bzip2-277B,0.636788,15703822,98.3304,2.6127,22.4281,77.5719,424054,0,0.0,100.0,0,0,65.3462,34.6538,12550,13979,68.3698,31.6302,7020,7556,14576
1MB,mru,0,403.gcc-16B,1.18682,8425865,99.8932,0.2104,75.2628,24.7372,569093,0,0.0294,99.9706,0,0,50.2179,49.7821,487320,489048,0.3107,99.6893,487110,488655,975765
