predictor,trace,mpki,acc,ipc,cycles,sim_sec
Bimodal,401.bzip2-277B,4.2577,97.2792,1.0747,9304927,9
Bimodal,403.gcc-16B,0.8526,99.5671,1.16618,8575039,8
Bimodal,456.hmmer-327B,0.1402,99.6709,1.48055,6754237,16
Bimodal,605.mcf_s-665B,27.2101,89.1088,0.381853,26188101,12
Bullseye,401.bzip2-277B,2.6142,98.3295,1.11863,8939537,9
Bullseye,403.gcc-16B,0.2104,99.8932,1.1871,8423908,9
Bullseye,456.hmmer-327B,0.0935,99.7805,1.48189,6748146,15
Bullseye,605.mcf_s-665B,17.2068,93.1128,0.412974,24214615,13
Bullseye_Adaptive,401.bzip2-277B,2.6157,98.3285,1.1186,8939746,9
Bullseye_Adaptive,403.gcc-16B,0.2104,99.8932,1.1871,8423908,9
Bullseye_Adaptive,456.hmmer-327B,0.0935,99.7805,1.48189,6748146,16
Bullseye_Adaptive,605.mcf_s-665B,17.1933,93.1182,0.413028,24211439,12
GShare,401.bzip2-277B,3.9527,97.4741,1.08148,9246548,9
GShare,403.gcc-16B,0.5905,99.7002,1.17211,8531632,9
GShare,456.hmmer-327B,0.0935,99.7805,1.48189,6748146,16
GShare,605.mcf_s-665B,20.5604,91.7704,0.390342,25618591,12
Hashed_Perceptron,401.bzip2-277B,2.6127,98.3304,1.11886,8937667,9
Hashed_Perceptron,403.gcc-16B,0.2104,99.8932,1.1871,8423908,9
Hashed_Perceptron,456.hmmer-327B,0.0935,99.7805,1.48189,6748146,16
Hashed_Perceptron,605.mcf_s-665B,17.2468,93.0967,0.412829,24223082,12
Perceptron,401.bzip2-277B,2.9328,98.1259,1.11202,8992635,9
Perceptron,403.gcc-16B,0.5891,99.7009,1.17413,8516934,8
Perceptron,456.hmmer-327B,0.0935,99.7805,1.48189,6748146,16
Perceptron,605.mcf_s-665B,18.7367,92.5004,0.404744,24706986,12
