predictor,core,trace,mpki,acc,ipc,cycles,sim_sec
Bimodal,0,lbm,0.0312768,99.6996,0.836444,11955382,56
Bimodal,1,gcc,0.72578,99.628,1.14858,8706401,43
Bimodal,2,bzip2,14.7455,90.8166,0.997726,10022796,48
Bimodal,3,omnetpp,8.7938,95.7633,0.256733,38950997,158
Bullseye,0,lbm,0.0105506,99.8985,0.83206,12018363,59
Bullseye,1,gcc,0.106748,99.9453,1.17025,8545195,45
Bullseye,2,bzip2,10.0816,93.7314,1.04886,9534164,48
Bullseye,3,omnetpp,3.7482,98.1942,0.274505,36429190,162
Bullseye_Adaptive,0,lbm,0.0105445,99.8986,0.832876,12006596,60
Bullseye_Adaptive,1,gcc,0.106522,99.9454,1.16973,8548990,45
Bullseye_Adaptive,2,bzip2,10.0866,93.7283,1.05158,9509456,49
Bullseye_Adaptive,3,omnetpp,3.639,98.2468,0.274425,36439879,163
GShare,0,lbm,0.0104913,99.8992,0.837186,11944775,56
GShare,1,gcc,0.462349,99.763,1.15503,8657794,43
GShare,2,bzip2,13.6884,91.4662,1.01375,9864400,48
GShare,3,omnetpp,7.0099,96.6228,0.26424,37844437,157
Hashed_Perceptron,0,lbm,0.0105395,99.8986,0.83083,12036151,59
Hashed_Perceptron,1,gcc,0.106578,99.9453,1.16958,8550092,45
Hashed_Perceptron,2,bzip2,10.0868,93.7278,1.04893,9533566,48
Hashed_Perceptron,3,omnetpp,3.7869,98.1756,0.274049,36489777,162
Perceptron,0,lbm,0.0105563,99.8985,0.834054,11989636,58
Perceptron,1,gcc,0.39126,99.7994,1.15706,8642625,44
Perceptron,2,bzip2,11.4536,92.8733,1.04444,9574508,48
Perceptron,3,omnetpp,5.0115,97.5856,0.270785,36929691,158
