policy,size_mb,trace,ipc,l1d_miss,l2_miss,llc_miss,llc_hit,llc_writes,cycles,sim_sec
drrip,1,401.bzip2-277B,0.685434,22.4194,65.2699,58.0604,41.9396,14360,14589303,10
drrip,1,403.gcc-16B,1.18681,75.2607,50.2191,0.2076,99.7924,975788,8425935,9
drrip,1,456.hmmer-327B,1.39476,1.388,38.0817,51.5588,48.4412,52560,7169707,16
drrip,1,605.mcf_s-665B,0.34819,11.6635,65.572,45.7934,54.2066,68021,28719993,12
drrip,2,401.bzip2-277B,0.923554,22.407,65.3161,25.4854,74.5146,14506,10827736,9
drrip,2,403.gcc-16B,1.1871,75.261,50.2182,0.2018,99.7982,975768,8423898,9
drrip,2,456.hmmer-327B,1.47517,1.3871,38.1383,50.6143,49.3857,52533,6778870,16
drrip,2,605.mcf_s-665B,0.385133,11.6638,65.5962,36.9558,63.0442,68147,25965045,12
drrip,4,401.bzip2-277B,1.10754,22.3917,65.2748,15.6635,84.3365,14446,9028983,9
drrip,4,403.gcc-16B,1.18736,75.259,50.2257,0.2022,99.7978,975819,8422031,9
drrip,4,456.hmmer-327B,1.48173,1.3873,38.3668,49.9227,50.0773,52549,6748868,16
drrip,4,605.mcf_s-665B,0.411502,11.6639,65.5632,32.7424,67.2576,68070,24301201,13
drrip,8,401.bzip2-277B,1.11583,22.392,65.2694,15.3599,84.6401,14511,8961969,9
drrip,8,403.gcc-16B,1.18664,75.2567,50.2231,0.2019,99.7981,975809,8427169,9
drrip,8,456.hmmer-327B,1.48752,1.3867,37.9235,50.0583,49.9417,52561,6722608,16
drrip,8,605.mcf_s-665B,0.424156,11.6637,65.6298,31.2065,68.7935,68093,23576224,12
hcit,1,401.bzip2-277B,0.676598,22.427,65.3481,60.1683,39.8317,14576,14779816,10
hcit,1,403.gcc-16B,1.1871,75.2608,50.2179,0.2032,99.7968,975765,8423908,9
hcit,1,456.hmmer-327B,1.40092,1.3879,38.794,49.6602,50.3398,52512,7138149,16
hcit,1,605.mcf_s-665B,0.339323,11.6628,65.6081,48.0717,51.9283,68042,29470482,13
hcit,2,401.bzip2-277B,0.94168,22.4046,65.3457,24.3674,75.6326,14576,10619317,9
hcit,2,403.gcc-16B,1.1871,75.2608,50.2179,0.2018,99.7982,975765,8423908,10
hcit,2,456.hmmer-327B,1.48189,1.387,38.794,49.4624,50.5376,52512,6748146,15
hcit,2,605.mcf_s-665B,0.390507,11.6627,65.6067,35.9223,64.0777,68038,25607704,12
hcit,4,401.bzip2-277B,1.11886,22.3917,65.3456,15.228,84.772,14576,8937667,9
hcit,4,403.gcc-16B,1.1871,75.2608,50.2179,0.2018,99.7982,975765,8423908,9
hcit,4,456.hmmer-327B,1.48189,1.387,38.794,49.4624,50.5376,52512,6748146,16
hcit,4,605.mcf_s-665B,0.415499,11.6631,65.6073,32.1722,67.8278,68040,24067473,12
hcit,8,401.bzip2-277B,1.11886,22.3917,65.3456,15.228,84.772,14576,8937667,9
hcit,8,403.gcc-16B,1.1871,75.2608,50.2179,0.2018,99.7982,975765,8423908,9
hcit,8,456.hmmer-327B,1.48189,1.387,38.794,49.4624,50.5376,52512,6748146,16
hcit,8,605.mcf_s-665B,0.425315,11.6633,65.6071,31.0808,68.9192,68040,23511989,12
lru,1,401.bzip2-277B,0.697385,22.4168,65.3469,56.5127,43.4873,14576,14339286,11
lru,1,403.gcc-16B,1.1871,75.2608,50.2179,0.2018,99.7982,975765,8423908,8
lru,1,456.hmmer-327B,1.39965,1.3879,38.794,49.7518,50.2482,52512,7144660,16
lru,1,605.mcf_s-665B,0.341802,11.6631,65.6096,47.5092,52.4908,68040,29256741,13
lru,2,401.bzip2-277B,0.928355,22.4043,65.3462,25.5328,74.4672,14576,10771746,9
lru,2,403.gcc-16B,1.1871,75.2608,50.2179,0.2018,99.7982,975765,8423908,9
lru,2,456.hmmer-327B,1.48189,1.387,38.794,49.4624,50.5376,52512,6748146,16
lru,2,605.mcf_s-665B,0.386095,11.6624,65.607,36.8216,63.1784,68040,25900380,13
lru,4,401.bzip2-277B,1.11886,22.3917,65.3456,15.228,84.772,14576,8937667,9
lru,4,403.gcc-16B,1.1871,75.2608,50.2179,0.2018,99.7982,975765,8423908,10
lru,4,456.hmmer-327B,1.48189,1.387,38.794,49.4624,50.5376,52512,6748146,16
lru,4,605.mcf_s-665B,0.412829,11.6631,65.6065,32.5141,67.4859,68040,24223082,13
lru,8,401.bzip2-277B,1.11886,22.3917,65.3456,15.228,84.772,14576,8937667,9
lru,8,403.gcc-16B,1.1871,75.2608,50.2179,0.2018,99.7982,975765,8423908,9
lru,8,456.hmmer-327B,1.48189,1.387,38.794,49.4624,50.5376,52512,6748146,15
lru,8,605.mcf_s-665B,0.425331,11.6633,65.6071,31.0785,68.9215,68040,23511103,12
mru,1,401.bzip2-277B,0.636788,22.4281,65.3462,68.3698,31.6302,14576,15703822,10
mru,1,403.gcc-16B,1.18682,75.2628,50.2179,0.3107,99.6893,975765,8425865,9
mru,1,456.hmmer-327B,1.40668,1.3879,38.794,71.2517,28.7483,52512,7108918,16
mru,1,605.mcf_s-665B,0.260853,11.6674,65.6057,92.5303,7.4697,68037,38335751,15
mru,2,401.bzip2-277B,0.811388,22.4176,65.3452,34.8084,65.1916,14576,12324562,10
mru,2,403.gcc-16B,1.1871,75.2608,50.2179,0.2018,99.7982,975765,8423908,9
mru,2,456.hmmer-327B,1.48189,1.387,38.794,49.4624,50.5376,52512,6748146,15
mru,2,605.mcf_s-665B,0.278284,11.6664,65.6077,81.0088,18.9912,68038,35934574,15
mru,4,401.bzip2-277B,1.11886,22.3917,65.3456,15.228,84.772,14576,8937667,9
mru,4,403.gcc-16B,1.1871,75.2608,50.2179,0.2018,99.7982,975765,8423908,9
mru,4,456.hmmer-327B,1.48189,1.387,38.794,49.4624,50.5376,52512,6748146,15
mru,4,605.mcf_s-665B,0.322883,11.6659,65.6081,58.4472,41.5528,68042,30970955,14
mru,8,401.bzip2-277B,1.11886,22.3917,65.3456,15.228,84.772,14576,8937667,8
mru,8,403.gcc-16B,1.1871,75.2608,50.2179,0.2018,99.7982,975765,8423908,9
mru,8,456.hmmer-327B,1.48189,1.387,38.794,49.4624,50.5376,52512,6748146,16
mru,8,605.mcf_s-665B,0.415256,11.6633,65.6074,32.511,67.489,68040,24081526,12
random,1,401.bzip2-277B,0.670655,22.4218,65.2679,59.988,40.012,14552,14910794,11
random,1,403.gcc-16B,1.18696,75.2614,50.2179,0.208,99.792,975765,8424859,9
random,1,456.hmmer-327B,1.39467,1.3879,38.5433,54.9336,45.0664,52541,7170132,16
random,1,605.mcf_s-665B,0.311658,11.6657,65.5796,59.0276,40.9724,67935,32086470,14
random,2,401.bzip2-277B,0.869817,22.4118,65.2652,28.8845,71.1155,14554,11496676,10
random,2,403.gcc-16B,1.1871,75.2608,50.2179,0.2018,99.7982,975765,8423908,9
random,2,456.hmmer-327B,1.48428,1.3868,38.5433,49.6059,50.3941,52541,6737253,15
random,2,605.mcf_s-665B,0.352309,11.6637,65.5729,44.8882,55.1118,68011,28384187,13
random,4,401.bzip2-277B,1.11833,22.3916,65.266,15.2461,84.7539,14554,8941894,9
random,4,403.gcc-16B,1.1871,75.2608,50.2179,0.2018,99.7982,975765,8423908,9
random,4,456.hmmer-327B,1.48428,1.3868,38.5433,49.6059,50.3941,52541,6737253,16
random,4,605.mcf_s-665B,0.3916,11.663,65.5828,35.9402,64.0598,67975,25536240,13
random,8,401.bzip2-277B,1.11833,22.3916,65.266,15.2461,84.7539,14554,8941894,9
random,8,403.gcc-16B,1.1871,75.2608,50.2179,0.2018,99.7982,975765,8423908,9
random,8,456.hmmer-327B,1.48428,1.3868,38.5433,49.6059,50.3941,52541,6737253,15
random,8,605.mcf_s-665B,0.423629,11.6632,65.593,31.2588,68.7412,68084,23605555,12
