policy,size_mb,core,trace,ipc,l1d_miss,l2_miss,llc_miss,llc_hit,llc_writes,cycles,sim_sec
drrip,1,0,lbm,0.605395,4.824,47.8292,60.7094,39.2906,90425,16518151,64
drrip,1,1,gcc,1.12923,4.824,47.8292,60.7094,39.2906,90425,8855614,38
drrip,1,2,bzip2,0.390879,4.824,47.8292,60.7094,39.2906,90425,25583361,95
drrip,1,3,omnetpp,0.217919,4.824,47.8292,60.7094,39.2906,90425,45888589,167
drrip,2,0,lbm,0.660226,4.8139,47.7629,48.4393,51.5607,90505,15146329,66
drrip,2,1,gcc,1.14055,4.8139,47.7629,48.4393,51.5607,90505,8767677,41
drrip,2,2,bzip2,0.777637,4.8139,47.7629,48.4393,51.5607,90505,12859477,57
drrip,2,3,omnetpp,0.246024,4.8139,47.7629,48.4393,51.5607,90505,40646448,174
drrip,4,0,lbm,0.820644,4.7808,47.7702,42.8477,57.1523,90450,12185562,64
drrip,4,1,gcc,1.16832,4.7808,47.7702,42.8477,57.1523,90450,8559325,47
drrip,4,2,bzip2,1.06582,4.7808,47.7702,42.8477,57.1523,90450,9382445,51
drrip,4,3,omnetpp,0.270945,4.7808,47.7702,42.8477,57.1523,90450,36907866,169
drrip,8,0,lbm,0.974419,4.7722,47.8141,40.2485,59.7515,90562,10262533,56
drrip,8,1,gcc,1.17267,4.7722,47.8141,40.2485,59.7515,90562,8527557,47
drrip,8,2,bzip2,1.12024,4.7722,47.8141,40.2485,59.7515,90562,8926688,49
drrip,8,3,omnetpp,0.318651,4.7722,47.8141,40.2485,59.7515,90562,31382347,153
hcit,1,0,lbm,0.435269,4.8414,47.7587,94.825,5.175,90487,22974305,74
hcit,1,1,gcc,1.07821,4.8414,47.7587,94.825,5.175,90487,9274673,38
hcit,1,2,bzip2,0.247751,4.8414,47.7587,94.825,5.175,90487,40363080,120
hcit,1,3,omnetpp,0.132065,4.8414,47.7587,94.825,5.175,90487,75720420,218
hcit,2,0,lbm,0.675546,4.8232,47.7396,60.899,39.101,90379,14802835,64
hcit,2,1,gcc,1.1461,4.8232,47.7396,60.899,39.101,90379,8725225,41
hcit,2,2,bzip2,0.736995,4.8232,47.7396,60.899,39.101,90379,13568624,60
hcit,2,3,omnetpp,0.223855,4.8232,47.7396,60.899,39.101,90379,44671837,185
hcit,4,0,lbm,0.84289,4.7845,47.7887,43.1949,56.8051,90467,11863946,60
hcit,4,1,gcc,1.16813,4.7845,47.7887,43.1949,56.8051,90467,8560665,46
hcit,4,2,bzip2,1.06927,4.7845,47.7887,43.1949,56.8051,90467,9352186,49
hcit,4,3,omnetpp,0.27779,4.7845,47.7887,43.1949,56.8051,90467,35998452,164
hcit,8,0,lbm,0.975649,4.7713,47.7839,40.0505,59.9495,90453,10249587,56
hcit,8,1,gcc,1.17387,4.7713,47.7839,40.0505,59.9495,90453,8518826,47
hcit,8,2,bzip2,1.12133,4.7713,47.7839,40.0505,59.9495,90453,8917998,49
